area_lower,config,dld_n_tx,dld_actual_aed,dld_actual_psf,dld_share_offplan_pct,pf_n_sale,pf_asking_aed,pf_asking_psf,pf_n_rent,pf_rent_aed,asking_premium_pct,dld_implied_yield_pct,pf_implied_yield_pct
dubai production city,STUDIO,85,425000.0,1067.8520678901903,0.0,279,580000.0,1330.9953703703704,254,45000.0,36.470588235294116,10.588235294117647,7.758620689655173
dubai sports city,STUDIO,169,479000.0,1066.263340052734,0.0,279,570000.0,1274.5098039215686,386,48000.0,18.997912317327767,10.020876826722338,8.421052631578947
jumeirah village triangle,STUDIO,66,550000.0,1255.818431925361,0.0,419,680000.0,1775.9562841530055,227,55000.0,23.636363636363637,10.0,8.088235294117647
dubai production city,1BR,107,710000.0,973.0987720262247,0.0,456,1023000.0,1360.115919629057,212,68500.0,44.08450704225352,9.647887323943662,6.695992179863147
al furjan,STUDIO,100,533000.0,1368.531869596011,0.0,256,595000.0,1547.8036175710595,648,50000.0,11.632270168855536,9.380863039399625,8.403361344537815
discovery gardens,STUDIO,206,533637.5,1081.8116043220411,0.0,86,555000.0,1138.5199240986717,210,49949.5,4.00318568316507,9.360193014921178,8.99990990990991
dubai sports city,1BR,146,724076.5,860.1456701471776,0.0,437,900000.0,1102.0971098265895,433,67000.0,24.29625875166505,9.25316592929062,7.444444444444444
arjan,STUDIO,181,600000.0,1406.5576064564202,0.0,634,690000.0,1706.081081081081,1252,54999.0,15.0,9.1665,7.970869565217391
dubai south,STUDIO,70,499038.0,1208.0918961796033,0.0,276,620000.0,1557.832638713792,147,44999.0,24.239035905081376,9.017148994665737,7.2579032258064515
town square,STUDIO,20,560000.0,1614.8651261587534,0.0,40,625000.0,1857.142857142857,58,50000.0,11.607142857142858,8.928571428571429,8.0
discovery gardens,1BR,196,796736.0,914.1298057221678,0.0,108,810000.0,918.1800014987635,117,68000.0,1.6647923527994217,8.534822074062173,8.395061728395062
town square,1BR,65,830000.0,1476.2149879202314,0.0,198,950000.0,1568.5188284518829,378,70000.0,14.457831325301203,8.433734939759036,7.368421052631578
jumeirah lake towers,1BR,149,1130000.0,1389.2249155261725,0.0,533,1400000.0,1635.9918200408997,1063,95000.0,23.893805309734514,8.4070796460177,6.785714285714286
jumeirah lake towers,STUDIO,49,776000.0,1707.8494739434504,0.0,124,900000.0,1946.5678812672438,401,65000.0,15.979381443298967,8.376288659793813,7.222222222222221
dubai south,1BR,125,745153.0,1041.0639795959885,0.0,444,1039344.0,1360.5939033888176,216,62000.0,39.48061673240261,8.32043888973137,5.965301189981373
arjan,1BR,180,950000.0,1362.1999105236714,0.0,693,1200000.0,1558.7529976019184,1252,79000.0,26.31578947368421,8.31578947368421,6.583333333333333
al furjan,1BR,103,1040000.0,1235.7599189460125,0.0,483,1146000.0,1438.2923673997414,496,81250.0,10.192307692307692,7.8125,7.0898778359511345
business bay,STUDIO,219,995000.0,2073.584797560406,0.0,765,1050000.0,2287.581699346405,1250,75000.0,5.527638190954774,7.537688442211055,7.142857142857142
business bay,1BR,353,1500000.0,1898.0329388409943,0.0,1650,1750000.0,2203.1926877741853,1250,108000.0,16.666666666666664,7.199999999999999,6.171428571428572
jumeirah village triangle,1BR,84,1042224.5,1391.7743224658338,0.0,736,1200000.0,1637.2090560550196,268,75000.0,15.138341115565792,7.196146319722862,6.25
dubai marina,STUDIO,51,1060000.0,2357.947459554481,0.0,205,1240000.0,2950.0,464,75000.0,16.9811320754717,7.0754716981132075,6.048387096774194
al khail heights,STUDIO,12,565000.0,1094.1281903274876,0.0,,,,,,,,
dubai science park,STUDIO,17,660000.0,1427.249220096455,0.0,,,,,,,,
dubai hills,STUDIO,11,1020000.0,2238.100909413686,0.0,,,,,,,,
international city ph 2 & 3,STUDIO,37,475000.0,1034.3000608090288,0.0,,,,,,,,
motor city,1BR,105,943263.0,1028.6044516522447,0.0,,,,,,,,
sufouh gardens,1BR,6,1350000.0,1629.2048488212054,0.0,,,,,,,,
warsan first,STUDIO,6,525000.0,1246.2884159283371,0.0,,,,,,,,
dubai studio city,STUDIO,83,535650.0,1488.9441222590224,0.0,,,,,,,,
wadi al safa 3,2BR,8,1342500.0,1141.5197867417578,0.0,,,,,,,,
dubai production city,2BR,59,1000000.0,921.5535502566687,0.0,,,,,,,,
al khail heights,1BR,29,965000.0,873.021845593896,0.0,,,,,,,,
jaddaf waterfront,STUDIO,8,920000.0,1527.7132028385188,0.0,,,,,,,,
warsan first,1BR,13,810000.0,1218.0386519319572,0.0,,,,,,,,
dubai studio city,1BR,54,855195.0,1296.3664644838445,0.0,,,,,,,,
jumeirah village circle,STUDIO,322,620000.0,1439.6670485128539,0.0,,,,,,,,
international city ph 1,STUDIO,164,345000.0,712.617418933557,0.0,,,,,,,,
dubai healthcare city - phase 2,STUDIO,49,879686.0,2054.9901541429567,0.0,,,,,,,,
damac hills,STUDIO,67,575000.0,1382.9280368849036,0.0,,,,,,,,
barsha heights,1BR,5,936000.0,1656.3731862116883,0.0,,,,,,,,
palm jumeirah,STUDIO,39,1500000.0,3033.000222962846,0.0,,,,,,,,
al barari,STUDIO,14,974239.95,1738.2358752498417,0.0,,,,,,,,
dubai investment park second,STUDIO,60,401183.05,889.9551114554097,0.0,,,,,,,,
meydan avenue,1BR,45,1188001.0,1447.840985555011,0.0,,,,,,,,
sobha heartland,1BR,167,1330000.0,2148.3252033864824,0.0,,,,,,,,
mbr district 7,STUDIO,13,770000.0,1874.888520751056,0.0,,,,,,,,
burj khalifa,STUDIO,30,1184000.0,2328.43045820958,0.0,,,,,,,,
dubai science park,1BR,26,1015000.0,1288.1716899049045,0.0,,,,,,,,
hadaeq sheikh mohammed bin rashid,1BR,10,1500000.0,2228.961849962729,0.0,,,,,,,,
liwan,3BR+,5,1250000.0,716.6681830600975,0.0,,,,,,,,
silicon oasis,STUDIO,71,475000.0,1083.491886622512,0.0,,,,,,,,
arjan,2BR,88,1405000.0,1271.4660402717702,0.0,,,,,,,,
dubai sports city,2BR,67,1100000.0,835.9430674787915,0.0,,,,,,,,
liwan,1BR,123,655000.0,878.084982271299,0.0,,,,,,,,
mirdif,STUDIO,5,710000.0,1301.3536479527716,0.0,,,,,,,,
motor city,STUDIO,13,669302.2,984.00264541071,0.0,,,,,,,,
silicon oasis,2BR,51,1280000.0,972.718296228408,0.0,,,,,,,,
dubai studio city,2BR,16,1123909.0,1181.2213881047146,0.0,,,,,,,,
wadi al safa 7,STUDIO,17,507000.0,1250.5656134580001,0.0,,,,,,,,
the greens,STUDIO,16,905000.0,2064.574918772166,0.0,,,,,,,,
down town jabal ali,1BR,14,566197.0,778.2796361745015,0.0,,,,,,,,
remraam,STUDIO,15,480000.0,1013.3412947910836,0.0,,,,,,,,
al khail heights,2BR,6,1375000.0,964.4428668763812,0.0,,,,,,,,
dubai investment park second,1BR,42,581609.0,700.0015591774586,0.0,,,,,,,,
international city ph 2 & 3,1BR,50,727500.0,972.785038100647,0.0,,,,,,,,
meydan one,1BR,78,1205250.0,2018.631737162268,0.0,,,,,,,,
remraam,1BR,44,750000.0,963.9163058940801,0.0,,,,,,,,
dubai investment park second,2BR,18,980000.0,631.6105078620892,0.0,,,,,,,,
jaddaf waterfront,1BR,10,1025000.0,1885.164033802455,0.0,,,,,,,,
dubai hills,1BR,110,1500000.0,2394.4552483430157,0.0,,,,,,,,
muhaisanah first,1BR,7,1250000.0,1348.767855784648,0.0,,,,,,,,
living legends,STUDIO,5,550000.0,1151.190957536403,0.0,,,,,,,,
jumeirah golf,1BR,9,1300000.0,1535.8935641192725,0.0,,,,,,,,
dubai land residence complex,2BR,64,931250.0,742.2612654618629,0.0,,,,,,,,
al satwa,1BR,20,1342116.5,1694.4972110482681,0.0,,,,,,,,
international city ph 1,1BR,183,465000.0,620.7035549305072,0.0,,,,,,,,
damac hills,1BR,84,1000000.0,1419.7275229231996,0.0,,,,,,,,
madinat hind 4,1BR,12,700000.0,1100.120947171843,0.0,,,,,,,,
sobha heartland,STUDIO,17,970000.0,1849.9899148640695,0.0,,,,,,,,
mbr district 7,1BR,12,1412500.0,1803.0735110381327,0.0,,,,,,,,
discovery gardens,2BR,57,1275000.0,904.7327620271645,0.0,,,,,,,,
madinat hind 4,STUDIO,25,465000.0,1095.1710824186075,0.0,,,,,,,,
dubai land residence complex,STUDIO,44,450000.0,963.5427628500786,0.0,,,,,,,,
down town jabal ali,STUDIO,28,547500.0,1521.0150307608897,0.0,,,,,,,,
majan,STUDIO,171,490996.0,850.5519684810167,0.0,,,,,,,,
international city ph 2 & 3,2BR,8,992500.0,813.6045644508115,0.0,,,,,,,,
nad al hamar,2BR,10,1320000.0,1037.9789651647266,0.0,,,,,,,,
jabal ali first,1BR,5,830000.0,1547.748564874984,0.0,,,,,,,,
majan,1BR,233,720000.0,866.229649477357,0.0,,,,,,,,
wadi al safa 7,1BR,9,755000.0,1216.7113572653377,0.0,,,,,,,,
liwan,STUDIO,13,550000.0,1349.9794306088666,0.0,,,,,,,,
international city ph 1,2BR,26,825000.0,800.6478137681025,0.0,,,,,,,,
remraam,2BR,34,1137500.0,988.672657742265,0.0,,,,,,,,
majan,2BR,91,1200000.0,941.0021847345655,0.0,,,,,,,,
silicon oasis,1BR,204,726150.0,909.1470139019225,0.0,,,,,,,,
dubai land residence complex,1BR,95,630000.0,769.8777998994177,0.0,,,,,,,,
wadi al safa 3,STUDIO,5,460000.0,781.4998561274133,0.0,,,,,,,,
jabal ali first,2BR,10,1105000.0,1449.178491325501,0.0,,,,,,,,
liwan,2BR,69,1230703.6,979.9983595891239,0.0,,,,,,,,
town square,2BR,75,1200000.0,1281.3469526174993,0.0,,,,,,,,
dubai investment park first,1BR,7,1100000.0,1105.7503018512357,0.0,,,,,,,,
dubai healthcare city - phase 2,1BR,65,1250000.0,1668.0306606424106,0.0,,,,,,,,
meydan one,STUDIO,201,700000.0,2035.2070168779915,0.0,,,,,,,,
al yelayiss 2,1BR,27,970000.0,1451.6114047882274,0.0,,,,,,,,
the greens,1BR,65,1490000.0,1854.3538903482347,0.0,,,,,,,,
living legends,1BR,11,925000.0,1081.0843522891314,0.0,,,,,,,,
jumeirah village circle,1BR,762,1010000.0,1340.777958690009,0.0,,,,,,,,
barsha heights,STUDIO,17,865941.58,2369.325812006302,0.0,,,,,,,,
dubai south,2BR,69,1077000.0,1046.4019095660178,0.0,,,,,,,,
mirdif,1BR,6,1000000.0,1019.500606192126,0.0,,,,,,,,
